,,,,,,,,,,
TEAM,HC,HC Exp,HC 2025 RECORD,OC,OC Since,OC Previous Role,DC,DC Since ,DC Previous Role,General Manager
Arizona Cardinals,Mike LaFleur,0,--,Nathaniel Hackett,2026[29],Green Bay Packers defensive analyst (2025),Nick Rallis,2023[29],Philadelphia Eagles linebackers coach (2021–2022),Monti Ossenfort
Atlanta Falcons,Kevin Stefanski,6,--,Tommy Rees,2026[25],Cleveland Browns offensive coordinator (2025),Jeff Ulbrich,2025[25],New York Jets defensive coordinator (2021–2024),Ian Cunningham
Baltimore Ravens,Jesse Minter,0,--,Declan Doyle,2026[5],Chicago Bears offensive coordinator (2025),Anthony Weaver,2026[5],Miami Dolphins defensive coordinator (2024–2025),Eric DeCosta
Buffalo Bills,Joe Brady,0,0-0,Pete Carmichael Jr.,2026[1],Denver Broncos senior offensive assistant (2024–2025),Jim Leonhard,2026[1],Denver Broncos assistant head coach & defensive pass game coordinator (2025),Brandon Beane
Carolina Panthers,Dave Canales,2,8-9,Brad Idzik,2024[26],Tampa Bay Buccaneers wide receivers coach (2023),Ejiro Evero,2023[26],Denver Broncos defensive coordinator (2022),Dan Morgan
Chicago Bears,Ben Johnson,1,11-6,Press Taylor,2026[21],Bears passing game coordinator (2025),Dennis Allen,2025[21],New Orleans Saints head coach (2022–2024),Ryan Poles
Cincinnati Bengals,Zac Taylor,7,6-11,Dan Pitcher,2024[6],Bengals quarterbacks coach (2020–2023),Al Golden,2025[6],Notre Dame Fighting Irish defensive coordinator (2022–2024),Duke Tobin (Director of Player Personnel)
Cleveland Browns,Todd Monken,0,--,Travis Switzer,2026[7],Baltimore Ravens run game coordinator (2024–2025),Mike Rutenberg,2026[7],Atlanta Falcons defensive pass game coordinator (2025),Andrew Berry
Dallas Cowboys,Brian Schottenheimer,1,7-9,Klayton Adams,2025[17],Arizona Cardinals offensive line coach (2023–2024),Christian Parker,2026[17],Philadelphia Eagles defensive backs coach & pass game coordinator (2024–2025),Jerry Jones
Denver Broncos,Sean Payton,18,14-3,Davis Webb,2026[13],Broncos quarterbacks coach & pass game coordinator (2025),Vance Joseph,2023[13],Arizona Cardinals defensive coordinator (2019–2022),George Paton
Detroit Lions,Dan Campbell,6,9-8,Drew Petzing,2026[22],Arizona Cardinals offensive coordinator (2023–2025),Kelvin Sheppard,2025[22],Detriot Lions linebackers coach (2022–2024),Brad Holmes
Green Bay Packers,Matt LaFleur,7,9-7,Adam Stenavich,2022[23],Packers offensive line coach & run game coordinator (2019–2021),Jonathan Gannon,2026[23],Arizona Cardinals head coach (2023–2025),Brian Gutekunst
Houston Texans,DeMeco Ryans,3,12-5,Nick Caley,2025[9],Los Angeles Rams tight ends coach & pass game coordinator (2024),Matt Burke,2023[9],Arizona Cardinals defensive line coach (2022),Nick Caserio
Indianapolis Colts,Shane Steichen,3,8-9,Jim Bob Cooter,2023[10],Jacksonville Jaguars passing game coordinator (2022),Lou Anarumo,2025[10],Cincinnati Bengals defensive coordinator (2019–2024),Chris Ballard
Jacksonville Jaguars,Liam Coen,1,13-4,Grant Udinski,2025[11],Minnesota Vikings assistant offensive coordinator/quarterbacks coach (2024),Anthony Campanile,2025[11],Green Bay Packers linebackers coach & run game coordinator (2024),Trent Baalke
Kansas City Chiefs,Andy Reid,27,6-11,Eric Bieniemy,2026[14],Chicago Bears running backs coach (2025),Steve Spagnuolo,2019[14],New York Giants defensive coordinator (2015–2017),Brett Veach
Las Vegas Raiders,Klint Kubiak,0,--,Andrew Janocko,2026[15],Seattle Seahawks quarterbacks coach (2025),Rob Leonard,2026[15],Las Vegas Raiders defensive line coach & run game coordinator (2023–2025),John Spytek
Los Angeles Chargers,Jim Harbaugh,6,11-6,Mike McDaniel,2026[16],Miami Dolphins head coach (2022–2025),Chris O'Leary,2026[16],Western Michigan Broncos defensive coordinator & safeties coach (2025),Joe Hortiz
Los Angeles Rams,Sean McVay,9,12-5,Nathan Scheelhaase,2026[30],Rams passing game coordinator (2025),Chris Shula,2024[30],Los Angeles Rams linebackers coach & pass rush coordinator (2023),Les Snead
