team_abbr,position,slot,status,candidates,note
ARI,QB,QB1,settled,Jacoby Brissett,Likely starter
ARI,QB,QB2,contested,Carson Beck|Gardner Minshew II,Rookie may jump Minshew if starter struggles; losers slot QB3
ARI,WR,WR1,settled,Marvin Harrison Jr.,WR alpha; McBride often top target
ARI,WR,WR2,settled,Michael Wilson,Likely WR2
ARI,WR,WR3,settled,Kendrick Bourne,Likely WR3
ARI,RB,RB1,settled,Jeremiyah Love,Rookie RB1
ARI,RB,RB2,contested,Tyler Allgeier|Trey Benson|James Conner,Trade/cut story possible; losers slot RB3
ARI,TE,TE1,settled,Trey McBride,TE volume rivals WR1
ATL,QB,QB1,settled,Tua Tagovailoa,Named Week 1 starter; Penix QB2
ATL,WR,WR1,settled,Drake London,Clear WR1
ATL,WR,WR2,contested,Jahan Dotson|Zachariah Branch,Dotson lean; Branch could push; losers slot WR3
ATL,WR,WR4,contested,Olamide Zaccheaus|Zachariah Branch,WR3 first; winner may chase WR2; losers slot WR5
ATL,RB,RB1,settled,Bijan Robinson,No competition
ATL,RB,RB2,settled,Brian Robinson Jr.,Handcuff
ATL,TE,TE1,settled,Kyle Pitts Sr.,May compete for WR2/3 targets
BAL,QB,QB1,settled,Lamar Jackson,Clear starter
BAL,WR,WR1,settled,Zay Flowers,Clear WR1
BAL,WR,WR2,contested,Ja'Kobi Lane|Rashod Bateman|Elijah Sarratt,Lane lean; rookies push Bateman; losers slot WR3
BAL,RB,RB1,settled,Derrick Henry,Clear RB1
BAL,RB,RB2,contested,Justice Hill|Adam Randall,Randall could move up; losers slot RB3
BAL,TE,TE1,settled,Mark Andrews,Clear TE1
BUF,QB,QB1,settled,Josh Allen,No competition
BUF,WR,WR1,settled,DJ Moore,Expected WR1; monitor camp
BUF,WR,WR2,settled,Khalil Shakir,Likely WR2
BUF,WR,WR3,open,Keon Coleman|Joshua Palmer|Skyler Bell,Wide open WR3; rookie Skyler Bell; losers slot WR4
BUF,RB,RB1,settled,James Cook,Clear RB1
BUF,RB,RB2,contested,Ray Davis|Ty Johnson,Soft handcuff battle; losers slot RB3
BUF,TE,TE1,contested,Dalton Kincaid|Dawson Knox,1a/1b TE split; losers slot TE2
CAR,QB,QB1,settled,Bryce Young,Clear starter
CAR,WR,WR1,settled,Tetairoa McMillan,Clear WR1
CAR,WR,WR2,settled,Jalen Coker,Was WR2 last year
CAR,WR,WR3,contested,Xavier Legette|Chris Brazzell II|Jimmy Horn Jr.,Brazzell II may push WR2; losers slot WR4
CAR,RB,RB1,settled,Chuba Hubbard,Possible committee
CAR,RB,RB2,contested,Jonathon Brooks|Chuba Hubbard,Brooks split watch; losers slot RB3
CAR,TE,TE1,settled,Tommy Tremble,Weak TE room
CHI,QB,QB1,settled,Caleb Williams,Clear starter
CHI,WR,WR1,contested,Rome Odunze|Luther Burden III,Odunze lean WR1; Burden pushes from WR2; losers slot WR2
CHI,WR,WR2,settled,Luther Burden III,Slot WR2; competes up for WR1
CHI,WR,WR3,contested,Kalif Raymond|Zavion Thomas,Thomas may take WR3; losers slot WR4
CHI,RB,RB1,settled,D'Andre Swift,Clear RB1; some split with Monangai
CHI,RB,RB2,settled,Kyle Monangai,Premium handcuff and sneaky RB2 in a split
CHI,TE,TE1,settled,Colston Loveland,Clear TE1
CIN,QB,QB1,settled,Joe Burrow,No competition
CIN,WR,WR1,settled,Ja'Marr Chase,Elite WR1
CIN,WR,WR2,settled,Tee Higgins,Elite WR2
CIN,WR,WR3,settled,Andrei Iosivas,Clear WR3
CIN,RB,RB1,settled,Chase Brown,Clear starter
CIN,RB,RB2,contested,Samaje Perine|Tahj Brooks,Brooks may push handcuff; losers slot RB3
CIN,TE,TE1,settled,Mike Gesicki,Clear TE1
CLE,QB,QB1,settled,Deshaun Watson,Named starter Aug 24
CLE,QB,QB2,contested,Dillon Gabriel|Taylen Green,QB3 camp battle; longshots to play in 2026; losers slot QB3
CLE,WR,WR1,contested,Jerry Jeudy|KC Concepcion,Concepcion may win alpha; losers slot WR2
CLE,WR,WR3,contested,Denzel Boston,Boston pushes for WR2 after WR1 fallout
CLE,WR,WR4,contested,Cedric Tillman|Isaiah Bond,Tillman if healthy; losers slot WR5
CLE,RB,RB1,settled,Quinshon Judkins,Knee recovery watch
CLE,RB,RB2,settled,Dylan Sampson,Backup
CLE,TE,TE1,settled,Harold Fannin Jr.,Clear TE1
DAL,QB,QB1,settled,Dak Prescott,Clear starter
DAL,WR,WR1,settled,CeeDee Lamb,Clear WR1
DAL,WR,WR2,settled,George Pickens,Elite WR2
DAL,WR,WR3,contested,Ryan Flournoy|KaVontae Turpin,WR3 depth battle; losers slot WR4
DAL,RB,RB1,settled,Javonte Williams,Clear RB1
DAL,TE,TE1,settled,Jake Ferguson,Clear TE1
DEN,QB,QB1,settled,Bo Nix,Clear starter
DEN,WR,WR1,contested,Courtland Sutton|Jaylen Waddle,Loser is high-floor WR2; losers slot WR2
DEN,WR,WR3,contested,Troy Franklin|Pat Bryant|Marvin Mims Jr.,Three-way WR3; losers slot WR4
