team_slug,podcast_name,category,rss_url,notes
buffalo-bills,Locked on Bills,locked_on,https://feeds.simplecast.com/LIaoLB9Y,
miami-dolphins,Locked on Dolphins,locked_on,https://feeds.simplecast.com/f8EFrtWR,
new-england-patriots,Patroits Catch22,independent,https://omny.fm/shows/patriots-catch-22/playlists/podcast.rss,
new-york-jets,Play Like A Jet,independent,https://feeds.megaphone.fm/otjetspod,
baltimore-ravens,The Ravens Lounge (Official),official,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/ab04e7fc-0340-470c-8ca2-aea70183e095/636a6b83-f979-4aeb-9f44-aea70183e0a3/podcast.rss,
cincinnati-bengals,Bengals Booth Podcast (Official),official,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/218b01ba-4e5c-4581-b447-aeac013301e7/d1024af1-554d-4f25-bb78-aeac013301f5/podcast.rss,
cleveland-browns,Orange and Brown Talk,independent,https://feeds.megaphone.fm/orangebrowntalk,
pittsburgh-steelers,The Terrible Podcast,independent,http://feeds.feedburner.com/TheTerriblePodcast,
houston-texans,Texans All Access (Official),official,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/178d0781-85e0-4be4-8ff4-aeac0131b45b/85ddc5c0-36f8-48be-b048-aeac0131b485/podcast.rss,
indianapolis-colts,Indianapolis Colts Podcasts (Official / Colts Audio Network),official,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/879995aa-962b-4721-90c4-aead0111161d/41c299e1-30e0-43fa-b2e0-aead0111162b/podcast.rss,
jacksonville-jaguars,Jacksonville Jaguars Official Podcast Network,official,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/f4de013c-6ed0-442f-b992-aeac0018248e/39642b2f-2e1e-481f-9ef9-aeac00182497/podcast.rss,
tennessee-titans,The OTP: Official Titans Podcast,official,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/31142dcb-0076-4343-b172-aeac0126b451/a3093306-f091-44f3-ab3a-aeac0126b469/podcast.rss,
denver-broncos,DNVR Denver Broncos Podcast,independent,https://feeds.simplecast.com/w3d46li7,
kansas-city-chiefs,Defending The Kingdom (Official),official,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/5578c9d1-d9f6-4392-8fb1-aeac01366e12/b821b864-b83a-4214-9793-aeac01366e20/podcast.rss,
las-vegas-raiders,Raiders Podcast Network (Official),official,https://www.omnycontent.com/d/playlist/ca9aaa7d-6648-494d-bf2f-aef6014ed546/799de2ec-3db5-42c1-a0f5-af000100c564/5e29a931-1924-47ac-9f9c-af000100c585/podcast.rss,
los-angeles-chargers,Chargers Podcast Network (Official),official,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/01891723-b9f7-459c-a03c-aeac01364986/46e9a45b-cb89-4c6d-a54a-aeac01364994/podcast.rss,
dallas-cowboys,Locked On Cowboys,locked_on,https://feeds.simplecast.com/4NoEmSg7,
new-york-giants,Talkin' Giants Podcast,independent,https://feeds.simplecast.com/3W6eMAXm,
philadelphia-eagles,PHLY Philadelphia Eagles Podcast,independent,https://feeds.simplecast.com/rR8B4DDE,
washington-commanders,John Keim Report,independent,https://feeds.simplecast.com/kSOAGvW5,
chicago-bears,Hoge & Jahns,independent,https://feeds.simplecast.com/DxWJevnw,
detroit-lions,Twentyman in the Huddle,independent,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/232a7512-8d4f-4f44-a310-aeba0108eb11/b77c26af-c417-488d-a47f-aeba0108eb29/podcast.rss,
green-bay-packers,Pack-A-Day: Your Daily Packers Podcast,independent,https://feeds.simplecast.com/wX3kDX_W,
minnesota-vikings,Access Vikings,independent,https://feeds.megaphone.fm/STB5062197609,
atlanta-falcons,The Bow Tie Chronicles,independent,https://feeds.megaphone.fm/CMGA4399572400,
carolina-panthers,Happy Half Hour,independent,https://omny.fm/shows/happy-half-hour/playlists/podcast.rss,
new-orleans-saints,NewOrleans.Football Podcast,independent,https://feeds.simplecast.com/uhUYjZA0,
tampa-bay-buccaneers,Pewter Report Podcast,independent,https://feeds.megaphone.fm/RTERE6185627144,
arizona-cardinals,Cardinals Underground,independent,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/ec1c4d6f-a8c3-4d23-9e95-aeac01359eed/84d845d0-f9e7-4eb1-bded-aeac01359f00/podcast.rss,
los-angeles-rams,The Coach McVay Show,independent,https://omny.fm/shows/the-coach-mcvay-show/playlists/podcast.rss,
san-francisco-49ers,49ers Talk: A San Francisco 49ers Podcast,independent,https://feeds.simplecast.com/SCmnvidR,
seattle-seahawks,Seahawks Man 2 Man Podcast,independent,https://feeds.simplecast.com/ET1Z7uTI,
buffalo-bills,One Bills Live,independent,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/81b68f85-0c3c-4cd7-a504-aeac01336f91/6f9db0fa-bb9c-4c3f-b0df-aeac01336f9a/podcast.rss,
miami-dolphins,Fins or die,independent,https://rss.buzzsprout.com/2403431.rss,
new-england-patriots,Tom Curran's Patriots Talk,independent,https://feeds.simplecast.com/WpIK82Oy,
new-york-jets,Flight Deck with Rich Cimini,independent,https://feeds.megaphone.fm/ESP4319880044,
baltimore-ravens,Filmstudy,independent,https://feeds.redcircle.com/755d8a00-fc14-49d7-96fa-11d2d1c788c6,
cincinnati-bengals,The Growler,independent,https://rss.art19.com/the-growler,
cleveland-browns,Civilized Barking,independent,https://feeds.acast.com/public/shows/6838bb01964166a365d17110,
pittsburgh-steelers,SNR Drive,independent,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/402ff7c3-7326-4fc5-aee9-aea000011b5f/fb99635a-fca2-410d-995d-aea000011b8e/podcast.rss,
houston-texans,Locked On Texans,locked_on,https://feeds.simplecast.com/eO87ZWbO,
indianapolis-colts,Colts Corner with Kevin Bowen,independent,https://www.omnycontent.com/d/playlist/78a347aa-3282-4ac5-837c-a72300032082/e8b83751-d6f4-4639-9a5e-af2c0122e642/8dff4d90-7f00-4069-9cce-af2c0122e654/podcast.rss,
jacksonville-jaguars,Jaguars Reporters Podcast,independent,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/7240e1a8-cdd4-4cb9-9727-aeac001822a6/8e564b0f-260d-4eb0-a512-aeac001822b9/podcast.rss,
tennessee-titans,The Paul Kuharsky Podcast,independent,https://feeds.megaphone.fm/paulkuharskypod,
denver-broncos,Mile High Huddle Podcast,independent,https://feeds.redcircle.com/41109814-4a14-4380-b1c8-d8c130ddd12e,
kansas-city-chiefs,Chiefs Rewind (Official),official,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/514c5979-8be2-4ccf-9602-b259012891cd/55ae42b4-85cc-4795-ab57-b259012892fa/podcast.rss,
las-vegas-raiders,Locked On Raiders,locked_on,https://feeds.simplecast.com/FW_wEF1P,
los-angeles-chargers,Locked On Chargers,locked_on,https://feeds.simplecast.com/A8M6ytRb,
dallas-cowboys,The Break / Talkin' Cowboys,independent,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/daa09c7f-6c6b-44bd-b906-aeac01489de7/f8250829-ef85-42cf-90ff-aeac01489e03/podcast.rss,
new-york-giants,ALL IN with Art Stapleton,independent,https://www.omnycontent.com/d/playlist/a858b0a5-e5e6-4a14-9717-a70b010facc1/bd60768a-bb62-4a66-a890-ad7c01610256/de954168-9ce3-4dd9-9a4a-ad7c01614cc7/podcast.rss,
philadelphia-eagles,Eagle Eye: A Philadelphia Eagles Podcast,independent,https://feeds.simplecast.com/_ENNUG3a,
washington-commanders,Standig Room Only,independent,https://feeds.acast.com/public/shows/68374f9a998551779fb7fc77,
chicago-bears,CHGO Bears Podcast,independent,https://feeds.simplecast.com/oSbdDATR,
detroit-lions,Pride of Detroit: for Detroit Lions fans,independent,https://feeds.megaphone.fm/pride-of-detroit-lions,
green-bay-packers,Packers Unscripted,independent,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/3862fdb6-c358-40eb-88b2-aea8004103a7/b8766a57-277c-4d7e-965e-aea8004103b9/podcast.rss,
minnesota-vikings,Purple Insider,independent,https://feeds.simplecast.com/PuzMMWua,
atlanta-falcons,Dirty Birds and Brews,independent,https://feeds.simplecast.com/0C0VzkYK,
carolina-panthers,Jordan & Jake,independent,https://omny.fm/shows/jordan-jake/playlists/podcast.rss,
new-orleans-saints,Saints Podcast,independent,https://omny.fm/shows/new-orleans-saints-podcast/playlists/podcast.rss,
tampa-bay-buccaneers,Bucs Insider Podcast,independent,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/1daa0de2-8617-4f82-a0bd-aea90029f1c5/00b9a7a5-3e16-43a4-91f5-aea90029f1d3/podcast.rss,
arizona-cardinals,Locked On Cardinals,locked_on,https://feeds.simplecast.com/SRxnlfNZ,
los-angeles-rams,Rams Brothers,independent,https://feeds.simplecast.com/tsCGHzbj,
san-francisco-49ers,Locked On 49ers,locked_on,https://feeds.simplecast.com/P83yLSb_,
seattle-seahawks,Hawk Talk with Mike Macdonald,independent,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/5ea337e1-0349-4fe5-aa0f-aeac013216eb/f642dbe2-7740-481f-bf0b-aeac013216f9/podcast.rss,
buffalo-bills,Schopp and Bulldog,independent,https://rss.amperwave.net/v2/feed/audacy/buffalo_wgram-schopp_and_bulldog,
miami-dolphins,Dolphins in Depth,independent,https://feeds.megaphone.fm/dolphinsindepth,
new-england-patriots,Greg Bedard Patriots Podcast,independent,https://feeds.megaphone.fm/NSM9491972175,
new-york-jets,Gang's All Here,independent,https://feeds.megaphone.fm/NYPH3585429163,
baltimore-ravens,The Banner Ravens Podcast,independent,https://bannerravens.podbean.com/feed/,
cincinnati-bengals,Locked On Bengals,locked_on,https://feeds.simplecast.com/J1A29rxl,
cleveland-browns,Locked On Browns,locked_on,https://feeds.megaphone.fm/LKO2858265741,
pittsburgh-steelers,Locked On Steelers,locked_on,https://feeds.simplecast.com/y_l5uReM,
houston-texans,Texans 22,independent,https://anchor.fm/s/ee639b94/podcast/rss,
indianapolis-colts,One Percent Better,independent,https://feeds.acast.com/public/shows/68375cdc7b483718e063d4f3,
jacksonville-jaguars,Locked On Jaguars,locked_on,https://feeds.simplecast.com/BgZ7Brxt,
