team_slug,channel_url,label,source_tier,tab,expand_tabs,network
arizona-cardinals,https://www.youtube.com/@Arizona_Sports/videos,@Arizona_Sports,2,videos,false,
arizona-cardinals,https://www.youtube.com/@CardinalsTV,@CardinalsTV,2,all,true,
arizona-cardinals,https://www.youtube.com/@LockedOnCardinals/videos,@LockedOnCardinals,2,videos,false,
arizona-cardinals,https://www.youtube.com/@PHNX_Sports/videos,@PHNX_Sports,2,videos,false,
arizona-cardinals,https://www.youtube.com/@TheAZsportsfan/videos,@TheAZsportsfan,2,videos,false,
arizona-cardinals,https://www.youtube.com/c/azcardinals/videos,azcardinals,2,videos,false,
atlanta-falcons,https://www.youtube.com/@AtlantaFalcons/videos,@AtlantaFalcons,2,videos,false,
atlanta-falcons,https://www.youtube.com/@AtlantaFalconsNationLLC1/streams,@AtlantaFalconsNationLLC1,2,streams,false,
atlanta-falcons,https://www.youtube.com/@FalconsTV,@FalconsTV,2,all,true,
atlanta-falcons,https://www.youtube.com/@LockedOnFalcons/videos,@LockedOnFalcons,2,videos,false,
atlanta-falcons,https://www.youtube.com/@TheFalcoholicLive/videos,@TheFalcoholicLive,2,videos,false,
atlanta-falcons,https://www.youtube.com/@avy3n/videos,@avy3n,2,videos,false,
baltimore-ravens,https://www.youtube.com/@BaltimoreRavens,@BaltimoreRavens,2,all,true,
baltimore-ravens,https://www.youtube.com/@IngravenvidsTKIC/videos,@IngravenvidsTKIC,2,videos,false,
baltimore-ravens,https://www.youtube.com/@LockedOnRavens,@LockedOnRavens,2,all,true,locked_on
baltimore-ravens,https://www.youtube.com/@PurpleReignPodcast/videos,@PurpleReignPodcast,2,videos,false,
baltimore-ravens,https://www.youtube.com/@RavensTV,@RavensTV,2,all,true,
baltimore-ravens,https://www.youtube.com/@fortheflock/videos,@fortheflock,2,videos,false,
baltimore-ravens,https://www.youtube.com/@ravensvaultpodcast,@ravensvaultpodcast,2,all,true,
buffalo-bills,https://www.youtube.com/@BuffaloPlus,@BuffaloPlus,2,all,true,
buffalo-bills,https://www.youtube.com/@ShoutBillsPodcast/featured,@ShoutBillsPodcast,2,featured,false,
buffalo-bills,https://www.youtube.com/@buffalobills,@buffalobills,1,all,true,
buffalo-bills,https://www.youtube.com/@theBuffaloFanatics,@theBuffaloFanatics,2,all,true,
buffalo-bills,https://www.youtube.com/LockedOnBills,LockedOnBills,2,all,true,
carolina-panthers,https://www.youtube.com/@C3PanthersPod/streams,@C3PanthersPod,2,streams,false,
carolina-panthers,https://www.youtube.com/@LockedOnPanthers,@LockedOnPanthers,2,all,true,
carolina-panthers,https://www.youtube.com/@PantherNationPodcast/streams,@PantherNationPodcast,2,streams,false,
carolina-panthers,https://www.youtube.com/@UBSportsTalk/videos,@UBSportsTalk,2,videos,false,
carolina-panthers,https://www.youtube.com/carolinapanthers,carolinapanthers,2,all,true,
chicago-bears,https://www.youtube.com/@CHGOSports/videos,@CHGOSports,2,videos,false,
chicago-bears,https://www.youtube.com/@ChicagoBears/videos,@ChicagoBears,2,videos,false,
chicago-bears,https://www.youtube.com/@ForwardProgress312/videos,@ForwardProgress312,2,videos,false,
chicago-bears,https://www.youtube.com/@LockedOnBears,@LockedOnBears,2,all,true,locked_on
chicago-bears,https://www.youtube.com/@SwiftSportsNetwork/videos,@SwiftSportsNetwork,2,videos,false,
chicago-bears,https://www.youtube.com/@thescorechicago/videos,@thescorechicago,2,videos,false,
chicago-bears,https://www.youtube.com/@BearsNow,BearsNow,2,all,true,chat_sports
cincinnati-bengals,https://www.youtube.com/@Bengals,@Bengals,1,all,true,
cincinnati-bengals,https://www.youtube.com/@BengalsTalk,@BengalsTalk,1,all,true,
cincinnati-bengals,https://www.youtube.com/@TheGrowlerPodcast,@TheGrowlerPodcast,2,all,true,
cincinnati-bengals,https://www.youtube.com/@firststarmediagroup,@firststarmediagroup,2,all,true,
cincinnati-bengals,https://www.youtube.com/@BengalsTV,BengalsTV,2,all,true,chat_sports
cincinnati-bengals,https://www.youtube.com/c/lockedonbengals,lockedonbengals,2,all,true,
cleveland-browns,https://www.youtube.com/@ClevelandBrownsonclevelandcom/videos,@ClevelandBrownsonclevelandcom,2,videos,false,
cleveland-browns,https://www.youtube.com/@LockedOnBrowns,@LockedOnBrowns,2,all,true,locked_on
cleveland-browns,https://www.youtube.com/@OrangeAndBrownReport/videos,@OrangeAndBrownReport,2,videos,false,
cleveland-browns,https://www.youtube.com/@QuincyCarrier,@QuincyCarrier,2,all,true,
cleveland-browns,https://www.youtube.com/@TheDawgsPodcast/videos,@TheDawgsPodcast,2,videos,false,
